shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1//test20tig_AVTZ// DONE 4.377589591893317 2	-0.89515539 -0.86188630 0.01470539 -0.01696383 -0.89289695 -0.81573250 -0.86034320
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVTZ// DONE 4.3775900232822025 2	-0.89513775 -0.86188680 0.01470412 -0.01696404 -0.89287783 -0.81575610 -0.86034210
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVTZ// DONE 4.460130786847382 2	-0.11341827 -0.00876547 0.92235700 -0.01862777 -1.01714750 -0.97589120 -0.99974250
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVTZ// DONE 4.4601310789633635 2	-0.11341593 -0.00876610 0.92235850 -0.01863116 -1.01714327 -0.97589060 -0.99973980
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.5159560879710785 1	-1.42155958 -1.42233600 -0.29303780 -0.08015667 -1.04836511 -0.95200930 -1.00771500
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.515956488205573 1	-1.42155705 -1.42233100 -0.29304030 -0.08015116 -1.04836559 -0.95201100 -1.00771600
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.515956561069497 1	-1.42156670 -1.42233700 -0.29304940 -0.08014717 -1.04837013 -0.95201190 -1.00771900
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.5159568524807465 1	-1.42155423 -1.42233500 -0.29303910 -0.08015667 -1.04835846 -0.95201130 -1.00771200
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVTZ// DONE 5.849414294420457 2	0.09731562 0.15413240 0.23913970 -0.00119054 -0.14063355 -0.14466520 -0.14233440
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z0_mono0_fix1//test20tig_AVTZ// DONE 6.141085043291241 2	-0.29128518 -0.25631900 -0.25598380 0.00245064 -0.03775202 -0.03589752 -0.03696965
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 6.357429267555807 2	-0.20675216 -0.18443570 -0.19820710 0.00273423 -0.01127929 -0.00901280 -0.01032311
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 7.239439282042159 2	-0.03839713 -0.02242064 -0.02401207 0.00028645 -0.01467150 -0.01428683 -0.01450922
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 7.23943950064428 2	-0.03840027 -0.02242059 -0.02401049 0.00028515 -0.01467493 -0.01428133 -0.01450888
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 7.239439558657251 2	-0.03839799 -0.02242069 -0.02400542 0.00028117 -0.01467374 -0.01428128 -0.01450817
