shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.5159560879710785 4.460130786847383 4.3775895422126005 13.353676417031062 2	-0.02729814 0.09998501 -0.08632607 0.01237694 0.04665099 0.04595721 0.04635830
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.377589591893318 4.460130786847383 4.51595605254862 13.353676431289323 2	-0.02727271 0.09998505 -0.08629794 0.01234028 0.04668495 0.04596301 0.04638038
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell0_X0_Y0_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.5159560879710785 4.377589591893318 4.460130982830929 13.353676662695324 2	-0.00177936 0.13605150 -0.06096188 0.01476871 0.04441381 0.04755879 0.04574060
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z0_mono1_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.515956488205572 4.4601310789633635 4.3775895422126005 13.353677109381536 2	-0.00176695 0.13605160 -0.06095743 0.01476458 0.04442590 0.04754680 0.04574253
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.377589591893318 4.4601310789633635 4.51595650957896 13.353677180435643 2	-0.00176262 0.13605160 -0.06094274 0.01474545 0.04443467 0.04756207 0.04575404
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.515956561069496 4.460130786847383 4.3775899736014985 13.353677321518377 2	-0.00175914 0.13605170 -0.06093173 0.01473714 0.04443545 0.04756263 0.04575473
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.377589591893318 4.515956488205572 4.460131292558794 13.353677372657684 2	-0.02730107 0.09998486 -0.08632198 0.01237255 0.04664836 0.04596418 0.04635972
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono2_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.3775900232822025 4.460130786847383 4.515956596491944 13.353677406621529 2	-0.00176357 0.13605160 -0.06094162 0.01474717 0.04443088 0.04755778 0.04575004
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.515956561069496 4.3775900232822025 4.460130982830929 13.353677567182627 2	-0.02726680 0.09998504 -0.08629733 0.01233931 0.04669122 0.04595728 0.04638159
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono1_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.515956852480747 4.4601310789633635 4.3775899736014985 13.35367790504561 2	-0.02727574 0.09998492 -0.08629236 0.01234011 0.04667651 0.04596161 0.04637491
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono3_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.4601310789633635 4.3775900232822025 4.515956831107359 13.353677933352927 2	-0.02724480 0.09998497 -0.08625855 0.01229832 0.04671543 0.04596321 0.04639809
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.515956852480747 4.3775900232822025 4.460131292558794 13.353678168321744 2	-0.00176411 0.13605160 -0.06093729 0.01474321 0.04442997 0.04756505 0.04575258
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 4.377589591893318 5.849414294420457 4.37758959235763 14.604593478671404 2	-0.03648907 -0.00059172 -0.06304244 0.00570618 0.02084719 0.02226133 0.02144378
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y0_Z1_mono2_fix1//test20tig_AVDZ// DONE 4.377589591893318 4.37758959235763 5.849414447403712 14.60459363165466 1	-0.03649667 -0.00059177 -0.06305303 0.00571700 0.02083936 0.02226220 0.02143962
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVDZ// DONE 5.849414294420457 4.3775900232822025 4.377590023746515 14.604594341449175 2	-0.03650131 -0.00059170 -0.06306111 0.00572564 0.02083415 0.02226106 0.02143613
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z1_mono2_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.377590023746515 4.3775900232822025 5.849414447403712 14.604594494432428 1	-0.03648584 -0.00059170 -0.06304164 0.00570507 0.02085073 0.02225683 0.02144393
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z1_mono3_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.460130787301801 4.460130786847383 5.849414259311995 14.769675833461179 1	-0.02770577 0.00381899 -0.04761737 0.00498395 0.01492765 0.01656802 0.01561968
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 5.849414294420457 4.460130786847383 4.460130787301801 14.769675868569642 2	-0.02769165 0.00381900 -0.04762023 0.00498665 0.01494193 0.01654830 0.01561962
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z1_mono3_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.460131079417782 4.4601310789633635 5.849414259311995 14.769676417693141 1	-0.02765537 0.00381902 -0.04757111 0.00493260 0.01498314 0.01655121 0.01564467
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 5.849414294420457 4.4601310789633635 4.460131079417782 14.769676452801601 2	-0.02770200 0.00381905 -0.04762276 0.00499045 0.01493031 0.01655596 0.01561613
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y-1_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.377589591893318 6.14108504329124 4.3775900232822025 14.89626465846676 4	0.03279544 0.07422662 0.04657772 0.00395338 -0.01773566 -0.01479524 -0.01649517
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.377589591893318 4.3775900232822025 6.141085058035455 14.896264673210975 2	0.03280660 0.07422670 0.04659700 0.00393455 -0.01772495 -0.01479532 -0.01648901
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.5159560879710785 4.515956561069496 6.141085020779474 15.172997669820049 1	-0.09100214 -0.07291262 -0.09910029 0.00058227 0.00751589 0.01135335 0.00913482
