shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.5159560879710785 4.460130786847383 4.3775895422126005 13.353676417031062 2	-0.01362222 -0.05602969 -0.05353486 -0.00947528 0.04938793 0.04711468 0.04842890
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.377589591893318 4.460130786847383 4.51595605254862 13.353676431289323 2	-0.01361161 -0.05602965 -0.05353163 -0.00947797 0.04939799 0.04710226 0.04842948
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell0_X0_Y0_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.5159560879710785 4.377589591893318 4.460130982830929 13.353676662695324 2	0.00565511 -0.06072051 -0.00708669 -0.02117470 0.03391650 0.03717043 0.03528925
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z0_mono1_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.515956488205572 4.4601310789633635 4.3775895422126005 13.353677109381536 2	0.00564794 -0.06072009 -0.00709550 -0.02116457 0.03390802 0.03716989 0.03528412
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.377589591893318 4.4601310789633635 4.51595650957896 13.353677180435643 2	0.00566152 -0.06072013 -0.00708962 -0.02117095 0.03392209 0.03715724 0.03528692
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.515956561069496 4.460130786847383 4.3775899736014985 13.353677321518377 2	0.00564742 -0.06072027 -0.00709520 -0.02116483 0.03390745 0.03717069 0.03528413
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.377589591893318 4.515956488205572 4.460131292558794 13.353677372657684 2	-0.01363179 -0.05602957 -0.05353536 -0.00947417 0.04937774 0.04712674 0.04842810
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono2_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.3775900232822025 4.460130786847383 4.515956596491944 13.353677406621529 2	0.00566244 -0.06072034 -0.00707011 -0.02119242 0.03392497 0.03717368 0.03529552
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.515956561069496 4.3775900232822025 4.460130982830929 13.353677567182627 2	-0.01361712 -0.05602950 -0.05353908 -0.00947063 0.04939259 0.04710309 0.04842671
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono1_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.515956852480747 4.4601310789633635 4.3775899736014985 13.35367790504561 2	-0.01361783 -0.05602964 -0.05354119 -0.00946822 0.04939158 0.04710164 0.04842551
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono3_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.4601310789633635 4.3775900232822025 4.515956831107359 13.353677933352927 2	-0.01362623 -0.05602955 -0.05353760 -0.00947111 0.04938247 0.04711542 0.04842606
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.515956852480747 4.3775900232822025 4.460131292558794 13.353678168321744 2	0.00565699 -0.06072029 -0.00708581 -0.02117559 0.03391840 0.03716906 0.03528977
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 4.377589591893318 5.849414294420457 4.37758959235763 14.604593478671404 2	-0.02796441 -0.02761734 -0.05265913 -0.00091755 0.02561227 0.02487283 0.02530032
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y0_Z1_mono2_fix1//test20tig_AVDZ// DONE 4.377589591893318 4.37758959235763 5.849414447403712 14.60459363165466 1	-0.02796988 -0.02761737 -0.05266647 -0.00090786 0.02560445 0.02487054 0.02529483
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVDZ// DONE 5.849414294420457 4.3775900232822025 4.377590023746515 14.604594341449175 2	-0.02797506 -0.02761730 -0.05267512 -0.00090098 0.02560104 0.02487305 0.02529392
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z1_mono2_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.377590023746515 4.3775900232822025 5.849414447403712 14.604594494432428 1	-0.02795751 -0.02761731 -0.05264857 -0.00092758 0.02561864 0.02487278 0.02530398
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z1_mono3_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.460130787301801 4.460130786847383 5.849414259311995 14.769675833461179 1	-0.01947535 -0.02010765 -0.03793058 -0.00090712 0.01936235 0.01859108 0.01903697
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 5.849414294420457 4.460130786847383 4.460130787301801 14.769675868569642 2	-0.01948250 -0.02010766 -0.03794358 -0.00089269 0.01935376 0.01858661 0.01903012
