shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.565751472509687 12	-0.76317223 -0.53659120 0.14232520 -0.09171543 -0.81378200 -0.74819030 -0.78611050
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z0_mono0_fix1//test20tig_AVTZ// DONE 6.283227169962359 6	-0.18497609 -0.15626710 -0.15827940 -0.00292114 -0.02377555 -0.02074221 -0.02249586
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1//test20tig_AVTZ// DONE 7.57376537453448 12	-0.03701410 -0.01912395 -0.01733444 -0.00083954 -0.01884012 -0.01844009 -0.01867136
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVTZ// DONE 7.664413314073836 12	-0.01077404 0.00164535 0.00518706 -0.00057850 -0.01538260 -0.01529143 -0.01534414
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z-1_mono0_fix1//test20tig_AVTZ// DONE 8.69884916629692 6	-0.03018950 -0.02224654 -0.02755262 0.00041196 -0.00304884 -0.00240682 -0.00277799
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z1_mono0_fix1//test20tig_AVTZ// DONE 8.813938135457056 6	0.01826001 0.02449955 0.03258698 -0.00068428 -0.01364268 -0.01410537 -0.01383788
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVTZ// DONE 9.762161009125471 12	0.00790568 0.01197184 0.01561558 -0.00029076 -0.00741914 -0.00764364 -0.00751385
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono2_fix1//test20tig_AVTZ// DONE 9.763617675955024 12	-0.01109605 -0.00795046 -0.01022622 0.00014728 -0.00101711 -0.00084784 -0.00094570
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y-1_Z-1_mono0_fix1//test20tig_AVTZ// DONE 10.574170213290163 2	0.02868766 0.03328245 0.04276454 -0.00082611 -0.01325076 -0.01403729 -0.01358258
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y-1_Z1_mono0_fix1//test20tig_AVTZ// DONE 10.707029454809257 6	-0.00081720 0.00099745 0.00121329 0.00001647 -0.00204696 -0.00198715 -0.00202173
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z0_mono3_fix1//test20tig_AVTZ// DONE 11.474829462410431 12	0.00471208 0.00648713 0.00841027 -0.00014316 -0.00355502 -0.00368060 -0.00360800
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono3_fix1//test20tig_AVTZ// DONE 11.50145518534497 12	-0.00831556 -0.00729553 -0.00946675 0.00015508 0.00099611 0.00115094 0.00106143
