shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.565751472509687 12	-0.75770273 -0.67844330 0.05816444 -0.02435834 -0.79150883 -0.73970360 -0.76965350
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z0_mono0_fix1//test20tig_AVTZ// DONE 6.283227169962359 6	-0.18387843 -0.15981420 -0.16790750 0.00253989 -0.01851081 -0.01683507 -0.01780386
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1//test20tig_AVTZ// DONE 7.57376537453448 12	-0.03597066 -0.01828624 -0.01902550 0.00013125 -0.01707641 -0.01691451 -0.01700811
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVTZ// DONE 7.664413314073836 12	-0.01007556 0.00266882 0.00438738 -0.00006467 -0.01439827 -0.01437440 -0.01438820
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z-1_mono0_fix1//test20tig_AVTZ// DONE 8.69884916629692 6	-0.02971256 -0.02367984 -0.02762310 0.00029801 -0.00238747 -0.00184864 -0.00216015
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z1_mono0_fix1//test20tig_AVTZ// DONE 8.813938135457056 6	0.01886003 0.02653534 0.03241950 -0.00037697 -0.01318250 -0.01361023 -0.01336295
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVTZ// DONE 9.762161009125471 12	0.00833141 0.01291339 0.01558269 -0.00019383 -0.00705744 -0.00732442 -0.00717007
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono2_fix1//test20tig_AVTZ// DONE 9.763617675955024 12	-0.01093025 -0.00853800 -0.01025361 0.00011747 -0.00079410 -0.00063126 -0.00072540
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y-1_Z-1_mono0_fix1//test20tig_AVTZ// DONE 10.574170213290163 2	0.02928338 0.03578660 0.04262238 -0.00050168 -0.01283732 -0.01357059 -0.01314667
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y-1_Z1_mono0_fix1//test20tig_AVTZ// DONE 10.707029454809257 6	-0.00063665 0.00107362 0.00124133 -0.00000962 -0.00186835 -0.00187404 -0.00187075
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z0_mono3_fix1//test20tig_AVTZ// DONE 11.474829462410431 12	0.00491485 0.00698589 0.00841543 -0.00010857 -0.00339201 -0.00353350 -0.00345170
