shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell0_X0_Y0_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751472509687 4.565751472509687 13.697254417529061 6	-0.11888697 -0.05499366 -0.17137810 0.00214832 0.05034281 0.05263477 0.05130973
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z1_mono3_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751485810556 4.565751484644253 13.697254442964496 18	0.03202678 0.16681360 -0.00600224 0.01491945 0.02310958 0.02638648 0.02449202
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z1_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751485174007 6.283227169962359 15.414730127646052 18	-0.01959970 -0.00171469 -0.02493398 0.00118340 0.00415089 0.00604887 0.00495160
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751485280802 6.283227169962361 15.414730127752849 18	-0.02467246 -0.00899734 -0.02879965 0.00078493 0.00334226 0.00535530 0.00419151
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.565751472509687 7.573765382331708 4.565751473146237 16.705268327987632 18	0.01339062 0.02487555 0.00841838 0.00451254 0.00045970 -0.00015829 0.00019899
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 7.57376537453448 4.565751485280802 4.565751473146237 16.705268332961516 18	-0.01049138 -0.00924205 -0.00099572 -0.00222513 -0.00727054 -0.00618650 -0.00681321
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.565751472509687 7.664413314073836 4.565751473146237 16.795916259729758 18	-0.03999998 -0.04118378 -0.04652131 -0.00164372 0.00816505 0.00908953 0.00855506
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z1_mono3_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751484644253 7.664413321585641 16.795916278739583 18	0.02313787 0.03508645 0.03928434 0.00133983 -0.01748630 -0.01726476 -0.01739284
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 4.565751472509687 8.69884916629692 4.565751497945122 17.830352136751728 9	0.03903974 0.05256082 0.04539236 0.00477203 -0.01112465 -0.01275475 -0.01181235
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y0_Z1_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751497945122 8.813938135457056 17.945441105911865 9	0.02502099 0.03657646 0.04528736 0.00080535 -0.02107172 -0.02099399 -0.02103893
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 7.57376537453448 6.283227169962362 4.565751473146237 18.422744017643076 18	0.00409941 0.00546695 0.00454026 0.00028103 -0.00072188 -0.00056491 -0.00065566
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X0_Y0_Z1_mono3_fix1//test20tig_AVDZ// DONE 7.57376537453448 4.565751473146237 6.2832271699623625 18.42274401764308 18	0.01638599 0.02027458 0.02317037 0.00024599 -0.00703038 -0.00698055 -0.00700936
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X-1_Y0_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.565751472509687 7.66441332146008 6.283227169962359 18.513391963932126 18	-0.00326897 -0.00216492 -0.00644237 0.00046379 0.00270961 0.00273415 0.00271996
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 7.66441332146008 6.283227169962361 18.51339196393213 18	-0.00249701 -0.00086048 -0.00379963 0.00041640 0.00088622 0.00101013 0.00093850
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell0_X0_Y0_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.565751472509687 7.57376537453448 7.57376537453448 19.713282221578645 18	0.00357658 0.00359247 0.00603062 -0.00037012 -0.00208392 -0.00189229 -0.00200308
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.565751472509687 7.664413314073836 7.573765382331708 19.80393016891523 18	0.00162616 0.00197232 0.00166396 0.00008799 -0.00012579 -0.00008983 -0.00011062
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 7.5737653974569294 7.664413314073836 4.565751473146237 19.803930184677 18	0.00333967 0.00417062 0.00263553 0.00039884 0.00030530 0.00020649 0.00026361
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono3_fix1/shell1_X-1_Y0_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.565751473146237 7.66441332146008 7.664413321585641 19.89457811619196 18	-0.00365645 -0.00408378 -0.00562082 0.00006634 0.00189804 0.00188341 0.00189186
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 9.762161009125471 6.283227169962362 20.61113965159752 18	-0.00501050 -0.00434473 -0.00665695 0.00032723 0.00131921 0.00144355 0.00137167
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z1_mono0_fix1//test20tig_AVDZ// DONE 4.565751472509687 6.283227169962361 9.762161009125473 20.61113965159752 18	0.00205224 0.00267907 0.00474971 -0.00019808 -0.00249938 -0.00250326 -0.00250102
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y0_Z-1_mono2_fix1//test20tig_AVDZ// DONE 4.565751472509687 9.763617675955022 6.28322716996236 20.61259631842707 18	0.00280465 0.00346660 0.00581544 -0.00022424 -0.00278656 -0.00277535 -0.00278183
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 9.763617675955024 6.283227169962361 20.612596318427073 18	0.00448180 0.00592759 0.00625386 0.00029638 -0.00206843 -0.00217793 -0.00211463
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z-1_mono0_fix1/shell1_X1_Y0_Z0_mono3_fix1//test20tig_AVDZ// DONE 8.69884916629692 7.573765382331708 4.565751473146237 20.838366021774867 18	-0.00426375 -0.00580218 -0.00446802 -0.00044424 0.00064852 0.00076522 0.00069775
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z1_mono0_fix1/shell1_X0_Y1_Z1_mono3_fix1//test20tig_AVDZ// DONE 8.69884916629692 4.565751484644253 7.57376537453448 20.83836602547565 18	-0.00191503 -0.00292935 -0.00183263 -0.00037058 0.00028818 0.00042063 0.00034406
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X0_Y1_Z1_mono3_fix1//test20tig_AVDZ// DONE 7.57376537453448 4.565751484644253 8.698849166296922 20.838366025475658 18	-0.00212426 -0.00276528 -0.00221447 -0.00034508 0.00043529 0.00056691 0.00049082
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X-1_Y-1_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.565751472509687 7.664413328971884 8.69884916629692 20.92901396777849 18	-0.00021351 -0.00103876 0.00034183 -0.00036427 -0.00019108 -0.00012181 -0.00016185
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono3_fix1/shell1_X1_Y0_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.565751473146237 7.573765382331708 8.813938135457056 20.953454990935 18	-0.00137512 -0.00126532 -0.00268375 0.00028298 0.00102565 0.00100946 0.00101882
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 8.813938135457056 7.664413314073836 4.565751473146237 21.044102922677126 18	0.00192927 0.00229485 0.00179412 0.00013997 -0.00000482 -0.00007507 -0.00003446
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono3_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.565751473146237 7.664413314073836 8.813938135457056 21.044102922677126 18	-0.00114791 -0.00109119 -0.00261634 0.00024500 0.00122343 0.00109932 0.00117107
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z1_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 7.664413328971884 8.813938135457056 21.04410293693863 18	0.00014407 0.00010551 -0.00024277 0.00005553 0.00033130 0.00022954 0.00028837
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z-1_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 8.698849166296922 6.283227169962362 6.283227169962359 21.265303506221642 18	0.00163200 0.00146954 0.00234069 -0.00012440 -0.00058429 -0.00058773 -0.00058574
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 8.813938135457056 6.283227169962362 6.283227169962361 21.380392475381775 18	-0.00141200 -0.00120949 -0.00218194 0.00015760 0.00061234 0.00065227 0.00062919
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X-1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 7.57376537453448 6.283227169962361 7.573765382331708 21.430757926828548 18	-0.00134988 -0.00154994 -0.00204898 -0.00001917 0.00071827 0.00076114 0.00073636
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 6.283227169962359 7.664413314073836 7.57376537453448 21.521405858570674 18	0.00158340 0.00169454 0.00200194 -0.00002120 -0.00039734 -0.00038868 -0.00039369
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 7.57376537453448 7.664413314073836 6.2832271699623625 21.521405858570677 18	0.00126183 0.00150013 0.00154999 0.00002212 -0.00031028 -0.00031703 -0.00031313
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 6.283227169962361 7.664413314073836 7.664413321585641 21.612053805621837 18	0.00021358 0.00034876 0.00010106 0.00004692 0.00006561 0.00009367 0.00007744
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X-1_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 7.57376537453448 9.762161015101716 4.565751484644253 21.90167787428045 18	-0.00225479 -0.00261283 -0.00303861 0.00002065 0.00076317 0.00082412 0.00078888
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X1_Y0_Z0_mono3_fix1//test20tig_AVDZ// DONE 9.762161009125471 7.573765382331708 4.565751484644253 21.90167787610143 18	0.00531838 0.00674953 0.00547488 0.00056802 -0.00072453 -0.00091227 -0.00080373
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z-1_mono2_fix1//test20tig_AVDZ// DONE 4.565751472509687 9.763617675955022 7.573765389968425 21.903134538433136 18	-0.00331682 -0.00393590 -0.00365167 -0.00023844 0.00057329 0.00072763 0.00063841
