shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell0_X0_Y0_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751472509687 4.565751472509687 13.697254417529061 6	-0.10792893 -0.11853280 -0.14353190 -0.01562013 0.05122310 0.04948332 0.05048913
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z1_mono3_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751485810556 4.565751484644253 13.697254442964496 18	0.04194370 -0.01505312 0.03608213 -0.01241847 0.01828004 0.02124962 0.01953283
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z1_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751485174007 6.283227169962359 15.414730127646052 18	-0.01570059 -0.01577464 -0.01645326 -0.00403972 0.00479239 0.00564011 0.00515002
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751485280802 6.283227169962361 15.414730127752849 18	-0.02076052 -0.02234398 -0.02039976 -0.00418161 0.00382085 0.00452238 0.00411681
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.565751472509687 7.573765382331708 4.565751473146237 16.705268327987632 18	0.01380448 0.02282977 0.01076530 0.00291652 0.00012266 -0.00089265 -0.00030567
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 7.57376537453448 4.565751485280802 4.565751473146237 16.705268332961516 18	-0.01006652 -0.01210754 -0.00030827 -0.00226050 -0.00749775 -0.00659696 -0.00711773
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.565751472509687 7.664413314073836 4.565751473146237 16.795916259729758 18	-0.03955059 -0.04036614 -0.04693604 -0.00140468 0.00879013 0.00925244 0.00898516
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z1_mono3_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751484644253 7.664413321585641 16.795916278739583 18	0.02382383 0.02969436 0.03936977 0.00128326 -0.01682920 -0.01684698 -0.01683670
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 4.565751472509687 8.69884916629692 4.565751497945122 17.830352136751728 9	0.03923640 0.05540889 0.04749346 0.00345844 -0.01171550 -0.01331169 -0.01238889
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y0_Z1_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751497945122 8.813938135457056 17.945441105911865 9	0.02518804 0.03198255 0.04498310 0.00111506 -0.02091013 -0.02095581 -0.02092940
