shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 4.576817879131265 2	-0.91715981 -0.47987790 0.80512240 -0.15014040 -1.57214181 -1.55627500 -1.56544800
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.832536863788855 1	-0.82125095 -0.44537950 0.83689950 -0.12909740 -1.52905305 -1.51576700 -1.52344800
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.832537267337338 1	-0.82124968 -0.44537780 0.83689670 -0.12909660 -1.52904978 -1.51576200 -1.52344400
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.832541657327352 1	-0.82125800 -0.44538390 0.83687590 -0.12909520 -1.52903870 -1.51574400 -1.52343000
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.832541803661923 1	-0.82125108 -0.44537920 0.83687960 -0.12909490 -1.52903578 -1.51574800 -1.52343000
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.8748181239170645 1	-0.69208842 -0.25851900 0.73054230 -0.12410650 -1.29852422 -1.29446800 -1.29681300
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.8748182455824045 1	-0.69208616 -0.25851870 0.73054030 -0.12410970 -1.29851676 -1.29446400 -1.29680700
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.874819824994216 1	-0.69208889 -0.25852270 0.73053390 -0.12410930 -1.29851349 -1.29445900 -1.29680300
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.87481984938681 1	-0.69208466 -0.25851920 0.73053210 -0.12410900 -1.29850776 -1.29445500 -1.29679800
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z0_mono0_fix1//test20tig_AVTZ// DONE 5.834800797021388 2	-0.31641997 -0.03847400 0.24539290 -0.05464218 -0.50717069 -0.51266950 -0.50949050
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono0_fix1//test20tig_AVTZ// DONE 6.052387884674758 2	-0.25892226 -0.04072749 0.10690890 -0.03057278 -0.33525838 -0.34299010 -0.33852020
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y-1_Z0_mono0_fix1//test20tig_AVTZ// DONE 7.206164883641013 2	-0.05737868 -0.00645387 0.00366300 -0.00125285 -0.05978883 -0.06197583 -0.06071147
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono0_fix1//test20tig_AVTZ// DONE 7.234555636358268 2	-0.04933085 -0.00194429 0.00144929 -0.00090209 -0.04987805 -0.05185546 -0.05071227
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1//test20tig_AVTZ// DONE 7.357945972453686 2	-0.04843463 -0.00466469 0.00250505 -0.00091964 -0.05002003 -0.05185804 -0.05079544
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z-1_mono0_fix1//test20tig_AVTZ// DONE 7.432696933113306 2	-0.04067828 -0.00032136 0.00142052 -0.00063762 -0.04146118 -0.04317659 -0.04218487
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 7.687882795249492 1	-0.03376383 -0.00145773 0.00031805 -0.00037559 -0.03370629 -0.03515231 -0.03431633
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 7.6878830067580335 1	-0.03376359 -0.00145781 0.00031727 -0.00037543 -0.03370543 -0.03515266 -0.03431598
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 7.687889776040406 1	-0.03376204 -0.00145764 0.00031783 -0.00037603 -0.03370384 -0.03515302 -0.03431521
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 7.6878898668243245 1	-0.03376332 -0.00145778 0.00031703 -0.00037522 -0.03370514 -0.03515240 -0.03431570
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 7.741652423640557 1	-0.02619210 -0.00088449 -0.00002991 -0.00016000 -0.02600220 -0.02670438 -0.02629843
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 7.7416525542166985 1	-0.02617730 -0.00088442 -0.00000757 -0.00017940 -0.02599033 -0.02670500 -0.02629183
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 7.741657332883547 1	-0.02617832 -0.00088447 -0.00000952 -0.00017820 -0.02599060 -0.02670417 -0.02629164
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 7.7416573903537556 1	-0.02618010 -0.00088445 -0.00001159 -0.00017542 -0.02599310 -0.02670424 -0.02629311
