shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.87481984938681 4.576816950491205 14.284173663666868 2	0.02094441 0.15406540 -0.05952335 0.02630354 0.05416422 0.05819254 0.05586367
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.874819824994216 4.8325372673373375 4.576816950491205 14.284174042822757 2	0.02816372 0.16762450 -0.06320610 0.02898060 0.06238922 0.06653542 0.06413840
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.576817879131266 4.87481984938681 14.284174592306929 4	0.02813556 0.16762390 -0.06324051 0.02901258 0.06236349 0.06653525 0.06412345
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.576817879131266 4.874819824994216 4.8325372673373375 14.284174971462818 4	0.02096688 0.15406500 -0.05949705 0.02627862 0.05418531 0.05819607 0.05587735
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.8325372673373375 5.83480027387607 15.49987440500226 2	0.00938386 0.11165910 -0.04764877 0.02098129 0.03605134 0.03914114 0.03735485
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 5.834800797021388 4.8325372673373375 4.832536863788853 15.499874928147579 4	0.00938419 0.11165970 -0.04764976 0.02098114 0.03605281 0.03914091 0.03735560
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.8748181239170645 4.874818245582405 5.83480027387607 15.58443664337554 2	0.00793391 0.10358570 -0.04438415 0.02031423 0.03200383 0.03537897 0.03342772
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X0_Y-1_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.8748181239170645 5.83480079702139 4.874818245582404 15.584437166520857 4	0.00793716 0.10358660 -0.04438519 0.02031600 0.03200635 0.03537536 0.03342765
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z1_mono0_fix1//test20tig_AVDZ// DONE 4.832536863788853 6.052387884674758 4.8748181239170645 15.759742872380675 4	0.00900023 0.09320310 -0.03777980 0.01824811 0.02853192 0.03148111 0.02977611
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.8748181239170645 6.052388083568137 15.759743071274055 2	0.00732810 0.08700643 -0.03362579 0.01726018 0.02369371 0.02677796 0.02499488
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 6.052387884674758 4.8325372673373375 4.874818245582405 15.7597433975945 4	0.00731632 0.08700621 -0.03363112 0.01726659 0.02368085 0.02677750 0.02498725
