shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.87481984938681 4.576816950491205 14.284173663666868 2	0.01851231 -0.11417850 -0.00834751 -0.00811284 0.03497266 0.04309884 0.03840089
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.874819824994216 4.8325372673373375 4.576816950491205 14.284174042822757 2	0.02329124 -0.09189237 -0.00329653 -0.01156863 0.03815640 0.04772132 0.04219160
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.576817879131266 4.87481984938681 14.284174592306929 4	0.02328771 -0.09189190 -0.00330433 -0.01156156 0.03815360 0.04772105 0.04218987
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.576817879131266 4.874819824994216 4.8325372673373375 14.284174971462818 4	0.01852027 -0.11417800 -0.00834383 -0.00811843 0.03498254 0.04309777 0.03840615
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.8325372673373375 5.83480027387607 15.49987440500226 2	0.01116308 -0.09100297 -0.00429564 -0.00665237 0.02211109 0.02845728 0.02478839
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 5.834800797021388 4.8325372673373375 4.832536863788853 15.499874928147579 4	0.01115869 -0.09100365 -0.00429820 -0.00665045 0.02210734 0.02846067 0.02478765
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.8748181239170645 4.874818245582405 5.83480027387607 15.58443664337554 2	0.00996677 -0.10657840 -0.00478704 -0.00455310 0.01930691 0.02561736 0.02196913
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X0_Y-1_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.8748181239170645 5.83480079702139 4.874818245582404 15.584437166520857 4	0.00996931 -0.10657940 -0.00478358 -0.00455703 0.01930993 0.02562055 0.02197222
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z1_mono0_fix1//test20tig_AVDZ// DONE 4.832536863788853 6.052387884674758 4.8748181239170645 15.759742872380675 4	0.01197184 -0.07522626 0.00034222 -0.00569153 0.01732116 0.02337291 0.01987424
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.8748181239170645 6.052388083568137 15.759743071274055 2	0.00952902 -0.08564924 0.00177932 -0.00483038 0.01258008 0.01909497 0.01532855
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 6.052387884674758 4.8325372673373375 4.874818245582405 15.7597433975945 4	0.00953852 -0.08564886 0.00178722 -0.00483865 0.01258995 0.01909501 0.01533427
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.874818245582405 4.8325372673373375 6.052388083568135 15.75974359648788 2	0.01196912 -0.07522584 0.00034343 -0.00569294 0.01731863 0.02337595 0.01987406
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.874819824994216 7.2061641805828875 16.913520869365957 2	0.00118621 -0.00746230 0.00062476 -0.00066348 0.00122494 0.00364249 0.00224484
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y-1_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 7.206164883641014 4.87481984938681 4.8325372673373375 16.913522000365163 4	0.00118331 -0.00746238 0.00062034 -0.00066062 0.00122359 0.00364279 0.00224419
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y-1_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.832536863788853 7.234555636358268 4.874819824994216 16.941912325141338 4	0.00069602 -0.00867284 0.00130560 -0.00049189 -0.00011768 0.00214949 0.00083878
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.87481984938681 4.8325372673373375 7.23455534818809 16.941912464912235 2	0.00070789 -0.00867263 0.00131528 -0.00050344 -0.00010395 0.00214857 0.00084633
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.832541803661923 7.3579458897229895 17.023024557173763 2	-0.00025990 -0.00581973 0.00050787 -0.00057634 -0.00019144 0.00178624 0.00064290
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z1_mono0_fix1//test20tig_AVDZ// DONE 4.832536863788853 7.357945972453686 4.832541803661923 17.023024639904463 4	-0.00026627 -0.00581965 0.00050095 -0.00056915 -0.00019807 0.00178799 0.00063980
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.832536863788853 7.687882795249494 4.576816950491205 17.097236609529553 2	-0.00155678 -0.00081911 -0.00040137 0.00032580 -0.00148120 -0.00032176 -0.00099206
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 7.687883006758034 4.8325372673373375 4.576816950491205 17.09723722458658 2	-0.00279040 -0.00143452 0.00073293 -0.00007687 -0.00344645 -0.00246882 -0.00303401
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.576817879131266 7.687882795249494 17.097237538169612 4	-0.00281195 -0.00143455 0.00071581 -0.00005243 -0.00347533 -0.00246579 -0.00304943
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.576817879131266 4.8325372673373375 7.687883006758034 17.097238153226638 4	-0.00156937 -0.00081918 -0.00040674 0.00033694 -0.00149957 -0.00032131 -0.00100249
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.8748181239170645 4.87481984938681 7.4326967908791595 17.182334764183032 2	-0.00011346 -0.00654411 0.00142578 -0.00028100 -0.00125824 0.00057347 -0.00048549
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X1_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 4.8748181239170645 7.4326969331133075 4.87481984938681 17.182334906417182 4	-0.00010158 -0.00654407 0.00143730 -0.00029815 -0.00124073 0.00057135 -0.00047626
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X1_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.8748181239170645 7.741652423640553 4.576816950491205 17.193287498048825 2	-0.00405215 0.00029353 0.00010554 0.00030738 -0.00446508 -0.00447150 -0.00446779
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1/shell1_X1_Y1_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.874818245582405 7.7416525542166985 4.576816950491205 17.19328775029031 2	-0.00426706 0.00003085 -0.00026071 0.00035157 -0.00435791 -0.00415539 -0.00427248
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z-1_mono1_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 7.741652423640553 4.576817879131266 4.8748181239170645 17.19328842668888 4	-0.00427046 0.00003089 -0.00026072 0.00035339 -0.00436312 -0.00415494 -0.00427530
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1/shell1_X-1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.874818245582405 4.576817879131266 7.7416525542166985 17.19328867893037 4	-0.00405284 0.00029348 0.00009598 0.00032696 -0.00447579 -0.00447259 -0.00447444
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.576817879131266 5.834800797021388 7.206164883641014 17.617783559793665 6	0.00248394 -0.00358584 0.00008308 -0.00038041 0.00278128 0.00368186 0.00316121
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.576817879131266 7.234555636358268 5.834800797021388 17.646174312510922 6	0.00125033 -0.00304288 0.00089701 -0.00053271 0.00088604 0.00181496 0.00127793
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.576817879131266 4.576817879131266 8.63133829007425 17.78497404833678 3	-0.00820125 -0.00050403 -0.00074632 0.00044009 -0.00789502 -0.00819904 -0.00802328
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.874818245582405 8.215479171456105 17.922834280827363 2	-0.00395285 -0.00036691 -0.00086189 0.00028577 -0.00337673 -0.00277070 -0.00312106
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z1_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 8.21547938783387 4.8325372673373375 4.8748181239170645 17.92283477908827 4	-0.00395650 -0.00036691 -0.00087084 0.00029509 -0.00338074 -0.00277073 -0.00312339
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 7.357945972453686 6.052387884674759 4.576817879131266 17.98715173625971 6	0.00215727 -0.00312853 0.00020193 -0.00028766 0.00224300 0.00312086 0.00261334
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y-1_Z1_mono0_fix1//test20tig_AVDZ// DONE 4.832536863788853 8.30173601819067 4.874818245582404 18.009091127561927 4	-0.00279439 -0.00013623 -0.00060333 0.00028957 -0.00248063 -0.00239478 -0.00244441
