shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono0_fix1//test20tig_AVTZ// DONE 4.38165304261412 2  	-0.96401174 -0.42850630 0.66001900 -0.15277620 -1.47125454 -1.39970600 -1.44107000
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.689718751012225 1	-0.64034829 -0.13903720 0.75550050 -0.13230460 -1.26354419 -1.20843500 -1.24029500
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.689718793492955 1	-0.64034760 -0.13903880 0.75549860 -0.13230520 -1.26354100 -1.20843700 -1.24029400
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689720349898126 1	-0.64034530 -0.13903940 0.75550480 -0.13230810 -1.26354200 -1.20843800 -1.24029500
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689720404504576 1	-0.64034227 -0.13903790 0.75550630 -0.13230930 -1.26353927 -1.20843700 -1.24029300
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 4.8542918473850225 2	-0.66070363 -0.24096190 0.51699710 -0.12292130 -1.05477943 -1.00129100 -1.03221400
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.879875191366439 1	-0.66109921 -0.43594570 0.27514380 -0.07632637 -0.85991664 -0.80951110 -0.83865180
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.879875284071528 1	-0.66110057 -0.43595060 0.27514410 -0.07632735 -0.85991732 -0.80951300 -0.83865300
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.879876783261088 1	-0.66108116 -0.43594440 0.27515750 -0.07634357 -0.85989509 -0.80950720 -0.83863770
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.879876784204481 1	-0.66108702 -0.43594920 0.27515400 -0.07634013 -0.85990089 -0.80950850 -0.83864160
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1//test20tig_AVTZ// DONE 6.064820747978854 2	-0.15330179 -0.07263223 0.23927190 -0.05732647 -0.33524722 -0.33907650 -0.33686270
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z1_mono0_fix1//test20tig_AVTZ// DONE 6.602802553139406 2	-0.09188348 -0.05405288 -0.03559049 -0.00311618 -0.05317681 -0.05228394 -0.05280013
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z0_mono0_fix1//test20tig_AVTZ// DONE 6.810811507043177 2	-0.09025464 -0.05520520 -0.04346756 -0.00280365 -0.04398343 -0.04297901 -0.04355969
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-1_Y1_Z-2_mono1_fix1//test20tig_AVTZ// DONE 7.324543867648097 1	-0.04000196 -0.01003170 -0.00259180 -0.00202959 -0.03538057 -0.03540444 -0.03539064
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-1_Y0_Z-2_mono1_fix1//test20tig_AVTZ// DONE 7.324543907536211 1	-0.04000188 -0.01003136 -0.00259139 -0.00202957 -0.03538092 -0.03540453 -0.03539088
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z1_mono1_fix1//test20tig_AVTZ// DONE 7.324546685996958 1	-0.03999838 -0.01003141 -0.00258605 -0.00203344 -0.03537889 -0.03540392 -0.03538945
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono1_fix1//test20tig_AVTZ// DONE 7.3245467079324795 1	-0.03999965 -0.01003175 -0.00258648 -0.00203344 -0.03537973 -0.03540384 -0.03538990
shell0_X0_Y0_Z0_mono0_fix1/shell2_X0_Y1_Z-2_mono1_fix1//test20tig_AVTZ// DONE 7.64669015623292 1	-0.02744239 -0.00794666 -0.00523874 -0.00063235 -0.02157131 -0.02149686 -0.02153990
shell0_X0_Y0_Z0_mono0_fix1/shell2_X0_Y0_Z-2_mono1_fix1//test20tig_AVTZ// DONE 7.646690203091246 1	-0.02744578 -0.00794655 -0.00523881 -0.00063166 -0.02157531 -0.02149242 -0.02154034
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z1_mono1_fix1//test20tig_AVTZ// DONE 7.64669296991229 1	-0.02742893 -0.00794628 -0.00522695 -0.00064378 -0.02155820 -0.02150356 -0.02153515
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z1_mono1_fix1//test20tig_AVTZ// DONE 7.646692981710969 1	-0.02743364 -0.00794640 -0.00523824 -0.00063242 -0.02156298 -0.02150808 -0.02153982
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z1_mono0_fix1//test20tig_AVTZ// DONE 7.918115177639053 2	-0.02065540 -0.00150212 0.00076340 -0.00072211 -0.02069668 -0.02069293 -0.02069510
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 7.9370587750867125 1	-0.02921368 -0.00758250 -0.00521406 -0.00087284 -0.02312678 -0.02306612 -0.02310119
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 7.937058818163156 1	-0.02920917 -0.00758290 -0.00520906 -0.00087676 -0.02312334 -0.02306702 -0.02309958
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 7.937059651198265 1	-0.02919828 -0.00758293 -0.00520949 -0.00087766 -0.02311112 -0.02308312 -0.02309931
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 7.937059665509641 1	-0.02919964 -0.00758252 -0.00521271 -0.00087387 -0.02311306 -0.02308352 -0.02310060
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z-1_mono0_fix1//test20tig_AVTZ// DONE 7.94785401225415 2	-0.02023770 -0.00356355 -0.00405751 -0.00040901 -0.01577118 -0.01569839 -0.01574047
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y-1_Z0_mono0_fix1//test20tig_AVTZ// DONE 8.165893982210708 2	-0.01832918 0.00300995 0.01089531 -0.00139448 -0.02783001 -0.02807983 -0.02793540
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 8.232858600601466 1	-0.01861612 -0.00319905 -0.00229864 -0.00042045 -0.01589703 -0.01583926 -0.01587266
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 8.232858625612328 1	-0.01861649 -0.00319934 -0.00229909 -0.00042030 -0.01589710 -0.01583921 -0.01587268
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 8.232859489005401 1	-0.01862488 -0.00319949 -0.00230014 -0.00041896 -0.01590578 -0.01582896 -0.01587337
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 8.232859518875284 1	-0.01862425 -0.00319921 -0.00229912 -0.00041989 -0.01590525 -0.01582900 -0.01587308
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono0_fix1//test20tig_AVTZ// DONE 8.27527950048686 2	-0.00675475 0.00405775 0.00824293 -0.00034893 -0.01464875 -0.01479446 -0.01471022
shell0_X0_Y0_Z0_mono0_fix1/shell2_X0_Y0_Z2_mono0_fix1//test20tig_AVTZ// DONE 8.293258355384793 2	-0.02048339 -0.00784173 -0.00925670 0.00006089 -0.01128758 -0.01106794 -0.01119492
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y-1_Z-1_mono0_fix1//test20tig_AVTZ// DONE 8.971985427673124 2	-0.01394645 -0.00280064 -0.00357912 0.00002285 -0.01039018 -0.01024810 -0.01033024
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono0_fix1//test20tig_AVTZ// DONE 9.035177165497887 2	-0.01308796 -0.00606030 -0.00755976 0.00022128 -0.00574948 -0.00554121 -0.00566161
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-1_Y0_Z-2_mono0_fix1//test20tig_AVTZ// DONE 9.153763844015145 2	-0.00391521 0.00514994 0.00742844 -0.00039016 -0.01095349 -0.01120145 -0.01105810
