shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono0_fix1//test20tig_AVTZ// DONE 4.38165304261412 2	-0.92372000 -0.64366530 0.56314070 -0.07249535 -1.41436535 -1.38621400 -1.40248900
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.689718751012225 1	-0.60170536 -0.35953790 0.67154830 -0.06087169 -1.21238197 -1.19544100 -1.20523500
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.689718793492955 1	-0.60170867 -0.35954030 0.67153880 -0.06086323 -1.21238424 -1.19544500 -1.20523800
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689720349898126 1	-0.60172305 -0.35953850 0.67153160 -0.06085165 -1.21240300 -1.19544300 -1.20524800
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689720404504576 1	-0.60170606 -0.35953600 0.67154610 -0.06086746 -1.21238470 -1.19544200 -1.20523700
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 4.8542918473850225 2	-0.63345506 -0.49164820 0.42769890 -0.04923142 -1.01192254 -0.99327830 -1.00405700
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.879875191366439 1	-0.65812229 -0.47632330 0.23474110 -0.04225190 -0.85061149 -0.82525210 -0.83991300
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.879875284071528 1	-0.65812329 -0.47632710 0.23474310 -0.04225355 -0.85061284 -0.82525500 -0.83991500
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.879876783261088 1	-0.65811776 -0.47632100 0.23474400 -0.04225571 -0.85060605 -0.82524510 -0.83990690
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.879876784204481 1	-0.65812186 -0.47632490 0.23474460 -0.04225520 -0.85061126 -0.82524910 -0.83991160
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1//test20tig_AVTZ// DONE 6.064820747978854 2	-0.13875417 0.07133605 0.19111450 -0.02471369 -0.30515498 -0.31724510 -0.31025550
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z1_mono0_fix1//test20tig_AVTZ// DONE 6.602802553139406 2	-0.09077671 -0.04759152 -0.04259615 0.00128933 -0.04946988 -0.04971509 -0.04957333
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z0_mono0_fix1//test20tig_AVTZ// DONE 6.810811507043177 2	-0.08964013 -0.04935069 -0.04989020 0.00113932 -0.04088924 -0.04055570 -0.04074853
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-1_Y1_Z-2_mono1_fix1//test20tig_AVTZ// DONE 7.324543867648097 1	-0.03810487 -0.00715536 -0.00583819 0.00000154 -0.03226822 -0.03259815 -0.03240741
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-1_Y0_Z-2_mono1_fix1//test20tig_AVTZ// DONE 7.324543907536211 1	-0.03808197 -0.00715498 -0.00581289 -0.00002665 -0.03224243 -0.03259798 -0.03239243
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z1_mono1_fix1//test20tig_AVTZ// DONE 7.324546685996958 1	-0.03808041 -0.00715495 -0.00581293 -0.00002649 -0.03224099 -0.03259896 -0.03239201
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono1_fix1//test20tig_AVTZ// DONE 7.3245467079324795 1	-0.03808181 -0.00715532 -0.00581339 -0.00002645 -0.03224197 -0.03259909 -0.03239263
shell0_X0_Y0_Z0_mono0_fix1/shell2_X0_Y1_Z-2_mono1_fix1//test20tig_AVTZ// DONE 7.64669015623292 1	-0.02633320 -0.00647141 -0.00639969 0.00011089 -0.02004440 -0.02017664 -0.02010019
shell0_X0_Y0_Z0_mono0_fix1/shell2_X0_Y0_Z-2_mono1_fix1//test20tig_AVTZ// DONE 7.646690203091246 1	-0.02633097 -0.00647124 -0.00639151 0.00010508 -0.02004454 -0.02017657 -0.02010024
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z1_mono1_fix1//test20tig_AVTZ// DONE 7.64669296991229 1	-0.02633031 -0.00647097 -0.00639310 0.00010614 -0.02004335 -0.02017758 -0.02009998
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z1_mono1_fix1//test20tig_AVTZ// DONE 7.646692981710969 1	-0.02632846 -0.00647113 -0.00639030 0.00010406 -0.02004222 -0.02017956 -0.02010016
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z1_mono0_fix1//test20tig_AVTZ// DONE 7.918115177639053 2	-0.01929422 -0.00073087 -0.00028990 -0.00004235 -0.01896197 -0.01904560 -0.01899725
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 7.9370587750867125 1	-0.02773813 -0.00662660 -0.00666725 0.00002726 -0.02109814 -0.02105964 -0.02108190
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 7.937058818163156 1	-0.02774490 -0.00662703 -0.00667658 0.00003527 -0.02110359 -0.02105933 -0.02108492
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 7.937059651198265 1	-0.02774654 -0.00662705 -0.00668026 0.00003792 -0.02110421 -0.02105979 -0.02108547
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 7.937059665509641 1	-0.02774745 -0.00662661 -0.00667970 0.00003800 -0.02110575 -0.02105851 -0.02108582
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z-1_mono0_fix1//test20tig_AVTZ// DONE 7.94785401225415 2	-0.01946470 -0.00350926 -0.00497615 0.00006117 -0.01454973 -0.01441500 -0.01449289
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y-1_Z0_mono0_fix1//test20tig_AVTZ// DONE 8.165893982210708 2	-0.01644115 0.00518448 0.00924170 -0.00032367 -0.02535917 -0.02580790 -0.02554848
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 8.232858600601466 1	-0.01768056 -0.00270857 -0.00302964 -0.00001482 -0.01463610 -0.01464809 -0.01464116
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 8.232858625612328 1	-0.01768879 -0.00270885 -0.00303735 -0.00000620 -0.01464524 -0.01464813 -0.01464646
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 8.232859489005401 1	-0.01768931 -0.00270903 -0.00304113 -0.00000332 -0.01464486 -0.01464924 -0.01464671
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 8.232859518875284 1	-0.01769742 -0.00270876 -0.00304584 0.00000426 -0.01465584 -0.01464925 -0.01465306
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono0_fix1//test20tig_AVTZ// DONE 8.27527950048686 2	-0.00598958 0.00512547 0.00811491 -0.00020478 -0.01389972 -0.01405937 -0.01396707
shell0_X0_Y0_Z0_mono0_fix1/shell2_X0_Y0_Z2_mono0_fix1//test20tig_AVTZ// DONE 8.293258355384793 2	-0.01963455 -0.00783024 -0.00947756 0.00019635 -0.01035334 -0.01015013 -0.01026761
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y-1_Z-1_mono0_fix1//test20tig_AVTZ// DONE 8.971985427673124 2	-0.01305229 -0.00287406 -0.00366423 0.00001672 -0.00940478 -0.00934960 -0.00938150
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono0_fix1//test20tig_AVTZ// DONE 9.035177165497887 2	-0.01258466 -0.00614516 -0.00751373 0.00016963 -0.00524056 -0.00506998 -0.00516859
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-1_Y0_Z-2_mono0_fix1//test20tig_AVTZ// DONE 9.153763844015145 2	-0.00315397 0.00555269 0.00709758 -0.00017079 -0.01008075 -0.01031349 -0.01017894
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y-1_Z1_mono0_fix1//test20tig_AVTZ// DONE 9.295490539077504 2	-0.00149100 0.00719529 0.00939153 -0.00022425 -0.01065829 -0.01104236 -0.01082032
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 9.361506889970096 2	-0.01240503 -0.00574481 -0.00799598 0.00015255 -0.00456161 -0.00437449 -0.00448267
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z1_mono0_fix1//test20tig_AVTZ// DONE 9.387373487374097 2	0.00700034 0.01268571 0.01695312 -0.00040328 -0.00954950 -0.00985412 -0.00967801
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y1_Z-2_mono1_fix1//test20tig_AVTZ// DONE 9.573570512557703 1	-0.00590067 0.00061365 0.00104044 -0.00002351 -0.00691760 -0.00693055 -0.00692306
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z-2_mono1_fix1//test20tig_AVTZ// DONE 9.573570545117207 1	-0.00589911 0.00061354 0.00105233 -0.00003266 -0.00691878 -0.00692583 -0.00692175
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z1_mono1_fix1//test20tig_AVTZ// DONE 9.573572628954876 1	-0.00589375 0.00061339 0.00104319 -0.00003232 -0.00690462 -0.00692569 -0.00691351
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z1_mono1_fix1//test20tig_AVTZ// DONE 9.573572643884125 1	-0.00589177 0.00061350 0.00104645 -0.00003444 -0.00690378 -0.00692690 -0.00691354
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-1_Y0_Z2_mono0_fix1//test20tig_AVTZ// DONE 9.80780491502408 2	-0.00800743 -0.00430292 -0.00529098 0.00013789 -0.00285434 -0.00275118 -0.00281081
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z-1_mono0_fix1//test20tig_AVTZ// DONE 9.903259070833585 2	-0.00606405 -0.00077375 -0.00084121 -0.00001238 -0.00521046 -0.00519651 -0.00520458
shell0_X0_Y0_Z0_mono0_fix1/shell2_X1_Y1_Z-2_mono1_fix1//test20tig_AVTZ// DONE 10.272462453065987 1	-0.00170268 0.00164372 0.00223014 -0.00007272 -0.00386011 -0.00390707 -0.00387992
shell0_X0_Y0_Z0_mono0_fix1/shell2_X1_Y0_Z-2_mono1_fix1//test20tig_AVTZ// DONE 10.27246247983005 1	-0.00172380 0.00164364 0.00220162 -0.00004342 -0.00388200 -0.00390525 -0.00389181
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y1_Z1_mono1_fix1//test20tig_AVTZ// DONE 10.272464555493372 1	-0.00170179 0.00164361 0.00223656 -0.00007641 -0.00386195 -0.00390730 -0.00388108
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z1_mono1_fix1//test20tig_AVTZ// DONE 10.27246457253201 1	-0.00171245 0.00164368 0.00221443 -0.00005630 -0.00387059 -0.00390826 -0.00388648
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-1_Y2_Z-1_mono1_fix1//test20tig_AVTZ// DONE 10.479836115247128 1	0.00051479 0.00382850 0.00502393 -0.00011618 -0.00439296 -0.00448881 -0.00443340
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y-1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 10.479836186966653 1	0.00053446 0.00382851 0.00503745 -0.00013669 -0.00436630 -0.00449264 -0.00441960
shell0_X0_Y0_Z0_mono0_fix1/shell2_X0_Y2_Z0_mono1_fix1//test20tig_AVTZ// DONE 10.47983678588932 1	0.00051098 0.00382852 0.00502066 -0.00011221 -0.00439747 -0.00448752 -0.00443546
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z0_mono1_fix1//test20tig_AVTZ// DONE 10.479836843290183 1	0.00049951 0.00382852 0.00500493 -0.00009625 -0.00440917 -0.00448751 -0.00444222
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z1_mono0_fix1//test20tig_AVTZ// DONE 10.506825541052299 2	-0.00597786 -0.00319391 -0.00447279 0.00009843 -0.00160349 -0.00147736 -0.00155028
shell0_X0_Y0_Z0_mono0_fix1/shell2_X0_Y2_Z-1_mono1_fix1//test20tig_AVTZ// DONE 10.55227031009794 1	-0.00161347 0.00139463 0.00187125 -0.00003466 -0.00345005 -0.00346646 -0.00345698
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 10.552270378746124 1	-0.00159714 0.00139462 0.00189005 -0.00005519 -0.00343200 -0.00346870 -0.00344748
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-1_Y2_Z0_mono1_fix1//test20tig_AVTZ// DONE 10.55227099737296 1	-0.00161129 0.00139464 0.00186482 -0.00003017 -0.00344594 -0.00347252 -0.00345715
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y-1_Z0_mono1_fix1//test20tig_AVTZ// DONE 10.552271056865091 1	-0.00161196 0.00139464 0.00186984 -0.00003260 -0.00344921 -0.00347114 -0.00345846
shell0_X0_Y0_Z0_mono0_fix1/shell2_X0_Y-1_Z2_mono0_fix1//test20tig_AVTZ// DONE 10.597767900119495 2	-0.00024725 0.00273106 0.00339199 -0.00008657 -0.00355267 -0.00358269 -0.00356534
shell0_X0_Y0_Z0_mono0_fix1/shell2_X0_Y-1_Z-2_mono0_fix1//test20tig_AVTZ// DONE 10.621615668329172 2	-0.00401237 -0.00157612 -0.00221879 0.00005181 -0.00184538 -0.00181681 -0.00183333
