shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.689718751012225 4.879876784204481 4.381652121160035 13.95124765637674 2	0.00215791 0.13473740 -0.05889706 0.01736094 0.04369403 0.04629219 0.04479013
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.879875191366439 4.689720349898127 4.381652121160035 13.9512476624246 2	0.02757107 0.16084440 -0.03194063 0.01813973 0.04137197 0.04545475 0.04309439
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 4.689718751012225 4.38165304261412 4.879876784204481 13.951248577830825 4	0.02758363 0.16084430 -0.03193132 0.01813110 0.04138385 0.04544806 0.04309844
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.38165304261412 4.879875191366439 4.689720349898127 13.951248583878687 4	0.00215425 0.13473810 -0.05889574 0.01735835 0.04369164 0.04629850 0.04479141
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.689718751012225 4.879875191366439 4.854291280975464 14.423885223354127 2	0.00517382 0.11313980 -0.03752333 0.01410747 0.02858968 0.03183458 0.02995862
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.689718793492955 4.8798752840715265 4.854291280975464 14.423885358539945 2	-0.00787553 0.10130660 -0.06713257 0.01526534 0.04399170 0.04596543 0.04482437
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X-1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.689718751012225 4.854291847385022 4.879875191366439 14.423885789763686 4	-0.00788362 0.10130690 -0.06714875 0.01527737 0.04398776 0.04596598 0.04482232
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.8798752840715265 4.854291847385022 4.689718793492955 14.423885924949502 4	0.00519096 0.11314000 -0.03750577 0.01409052 0.02860621 0.03183287 0.02996746
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 6.064820747978854 4.38165304261412 4.854291847385022 15.300765637977996 6	0.01292229 0.09736599 -0.01311951 0.01293858  0.01310322 0.01626882 0.01443871
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.689718751012225 4.689720349898127 6.064820740141162 15.444259841051514 2	0.00647008 0.08817151 -0.02192085 0.01329742 0.01509351 0.01834405 0.01646483
