shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.689718751012225 4.879876784204481 4.381652121160035 13.95124765637674 2	0.00931440 -0.06977397 -0.01623941 -0.00920299 0.03475680 0.04241108 0.03798595
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.879875191366439 4.689720349898127 4.381652121160035 13.9512476624246 2	0.02900309 -0.06067766 0.02120371 -0.01650535 0.02430473 0.03366784 0.02825479
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 4.689718751012225 4.38165304261412 4.879876784204481 13.951248577830825 4	0.02900009 -0.06067698 0.02120121 -0.01650180 0.02430068 0.03366779 0.02825243
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.38165304261412 4.879875191366439 4.689720349898127 13.951248583878687 4	0.00931125 -0.06977495 -0.01624586 -0.00919816 0.03475527 0.04241183 0.03798538
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.689718751012225 4.879875191366439 4.854291280975464 14.423885223354127 2	0.00920853 -0.04933086 0.00221791 -0.01117674 0.01816736 0.02585888 0.02141222
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.689718793492955 4.8798752840715265 4.854291280975464 14.423885358539945 2	-0.00326255 -0.04736152 -0.02308005 -0.01326643 0.03308393 0.03948149 0.03578290
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X-1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.689718751012225 4.854291847385022 4.879875191366439 14.423885789763686 4	-0.00325766 -0.04736109 -0.02307245 -0.01327158 0.03308637 0.03948364 0.03578522
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.8798752840715265 4.854291847385022 4.689718793492955 14.423885924949502 4	0.00920620 -0.04933174 0.00222022 -0.01117748 0.01816346 0.02586057 0.02141068
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 6.064820747978854 4.38165304261412 4.854291847385022 15.300765637977996 6	0.01839485 -0.06864283 0.02384442 -0.00892634 0.00347676 0.00974449 0.00612096
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.689718751012225 4.689720349898127 6.064820740141162 15.444259841051514 2	0.01143165 -0.07448214 0.01679722 -0.00939843 0.00403286 0.00983919 0.00648241
